,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
4579,API,Google,3.0,1039,1.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
4580,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4581,API,Organic Search,2.0,1049,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,Yes,1
4582,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
4583,API,Google,2.0,1520,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4584,Landing Page Submission,Direct Traffic,6.0,954,3.0,Email Opened,Low in Relevance,Other Metro Cities,Modified,Yes,No,1
4585,Landing Page Submission,Direct Traffic,5.0,845,2.5,Page Visited on Website,Worst,Mumbai,Modified,Yes,No,1
4586,API,Organic Search,7.0,1157,2.33,SMS Sent,Not Sure,Mumbai,Modified,No,No,1
4587,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4588,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4589,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,No,No,1
4590,API,Google,2.0,222,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4591,API,Google,6.0,1308,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4592,API,Google,2.0,1871,1.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4593,API,Direct Traffic,2.0,295,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4594,Landing Page Submission,Direct Traffic,2.0,201,2.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
4595,Landing Page Submission,Google,4.0,1411,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,0
4596,API,Google,4.0,146,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4597,Landing Page Submission,Direct Traffic,2.0,430,2.0,Email Opened,High in Relevance,Mumbai,Modified,Yes,No,1
4598,API,Organic Search,3.0,169,3.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
4599,Landing Page Submission,Direct Traffic,3.0,39,3.0,SMS Sent,Not Sure,Other Cities of Maharashtra,SMS Sent,Yes,No,1
4600,Landing Page Submission,Direct Traffic,4.0,5,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4601,Landing Page Submission,Google,12.0,806,3.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,No,No,0
4602,API,Organic Search,6.0,1028,6.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4603,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,High in Relevance,Mumbai,Modified,No,No,1
4604,Landing Page Submission,Google,3.0,1010,3.0,SMS Sent,Not Sure,Other Cities of Maharashtra,SMS Sent,No,No,1
4605,Lead Add Form,Google,3.0,156,2.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
4606,API,Organic Search,2.0,1106,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4607,Landing Page Submission,Google,10.0,155,5.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
4608,Landing Page Submission,Google,8.0,252,2.67,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
4609,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4610,Landing Page Submission,Direct Traffic,2.0,1683,2.0,SMS Sent,Might be,Other Cities,SMS Sent,Yes,No,1
4611,API,Olark Chat,0.0,0,0.0,Page Visited on Website,Worst,Mumbai,Page Visited on Website,No,No,0
4612,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
4613,Lead Add Form,Reference,4.0,1144,1.33,Page Visited on Website,Might be,Other Cities,Page Visited on Website,No,No,1
4614,Landing Page Submission,Google,3.0,872,3.0,Unreachable,High in Relevance,Mumbai,Unreachable,No,No,1
4615,Landing Page Submission,Direct Traffic,2.0,1160,2.0,Email Opened,Worst,Thane & Outskirts,Email Opened,Yes,No,0
4616,Landing Page Submission,Direct Traffic,2.0,817,2.0,Email Opened,Worst,Mumbai,Email Opened,Yes,No,0
4617,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
4618,Landing Page Submission,Direct Traffic,2.0,877,2.0,SMS Sent,Not Sure,Other Metro Cities,Modified,Yes,No,0
4619,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4620,API,Olark Chat,0.0,0,0.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,0
4621,Landing Page Submission,Organic Search,7.0,542,3.5,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,Yes,0
4622,API,Google,3.0,518,3.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
4623,Landing Page Submission,Direct Traffic,2.0,837,2.0,Email Bounced,Low in Relevance,Mumbai,Modified,Yes,Yes,1
4624,API,Olark Chat,0.0,0,0.0,SMS Sent,Low in Relevance,Mumbai,SMS Sent,No,No,1
4625,API,Organic Search,3.0,1757,1.5,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4626,API,Organic Search,3.0,11,3.0,Email Bounced,Worst,Mumbai,Modified,No,Yes,0
4627,Landing Page Submission,Direct Traffic,2.0,1108,2.0,Email Opened,Low in Relevance,Mumbai,Modified,Yes,No,1
4628,Landing Page Submission,Google,4.0,1049,4.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,1
4629,Landing Page Submission,Google,5.0,763,5.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,1
4630,Landing Page Submission,Direct Traffic,3.0,9,3.0,SMS Sent,Might be,Other Metro Cities,SMS Sent,Yes,No,0
4631,Landing Page Submission,Google,5.0,357,2.5,Email Opened,Not Sure,Thane & Outskirts,Email Opened,No,No,0
4632,Landing Page Submission,Direct Traffic,1.0,196,1.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
4633,Landing Page Submission,Direct Traffic,2.0,1735,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
4634,Landing Page Submission,Direct Traffic,3.0,1500,3.0,Approached upfront,High in Relevance,Mumbai,Modified,Yes,No,1
4635,Landing Page Submission,Direct Traffic,3.0,558,3.0,Page Visited on Website,Low in Relevance,Mumbai,Modified,Yes,No,1
4636,Landing Page Submission,Direct Traffic,2.0,225,2.0,Email Opened,Worst,Other Metro Cities,Email Opened,Yes,No,0
4637,Landing Page Submission,Direct Traffic,2.0,69,2.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,Yes,No,0
4638,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
4639,Landing Page Submission,Direct Traffic,2.0,91,2.0,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
4640,Landing Page Submission,Direct Traffic,2.0,156,2.0,SMS Sent,Might be,Other Cities,SMS Sent,Yes,No,0
4641,API,Organic Search,2.0,111,2.0,Converted to Lead,Low in Relevance,Mumbai,Modified,No,No,0
4642,Landing Page Submission,Direct Traffic,7.0,1434,7.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,1
4643,Landing Page Submission,Organic Search,6.0,1183,3.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
4644,Landing Page Submission,Direct Traffic,5.0,138,5.0,Email Opened,Worst,Mumbai,Email Opened,No,No,0
4645,Landing Page Submission,Google,2.0,1585,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4646,Landing Page Submission,Direct Traffic,2.0,1486,2.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
4647,Landing Page Submission,Google,3.0,303,3.0,Email Bounced,Not Sure,Other Cities,Modified,No,Yes,0
4648,API,Google,5.0,567,2.5,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
4649,Landing Page Submission,Direct Traffic,5.0,260,5.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
4650,Landing Page Submission,Google,6.0,74,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4651,API,Google,2.0,840,2.0,Email Bounced,Low in Relevance,Mumbai,Email Bounced,No,Yes,1
4652,Landing Page Submission,Direct Traffic,7.0,1143,3.5,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,1
4653,Lead Add Form,Google,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,Yes,1
4654,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4655,API,Organic Search,2.0,342,2.0,SMS Sent,Not Sure,Mumbai,Modified,No,Yes,1
4656,Landing Page Submission,Direct Traffic,8.0,598,4.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
4657,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4658,Landing Page Submission,Direct Traffic,2.0,1517,2.0,SMS Sent,Not Sure,Other Cities,Modified,Yes,No,0
4659,Landing Page Submission,Direct Traffic,12.0,494,3.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
4660,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,Yes,1
4661,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4662,Lead Add Form,Welingak Website,1.0,846,1.0,Page Visited on Website,High in Relevance,Mumbai,Modified,No,No,1
4663,API,Google,3.0,1199,1.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4664,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4665,Landing Page Submission,Direct Traffic,3.0,206,3.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
4666,API,Google,3.0,204,1.5,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
4667,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4668,API,Organic Search,3.0,427,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
4669,API,Google,2.0,238,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4670,API,Google,2.0,1237,1.0,Email Opened,Worst,Mumbai,Email Opened,No,No,0
4671,Landing Page Submission,Google,3.0,170,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4672,Landing Page Submission,Direct Traffic,3.0,205,3.0,SMS Sent,Not Sure,Tier II Cities,SMS Sent,Yes,No,1
4673,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4674,Landing Page Submission,Google,7.0,894,3.5,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
4675,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4676,Lead Add Form,Reference,0.0,0,0.0,Form Submitted on Website,High in Relevance,Mumbai,Modified,Yes,No,1
4677,Landing Page Submission,Direct Traffic,2.0,1585,2.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
4678,Landing Page Submission,Direct Traffic,3.0,127,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
4679,API,Google,2.0,252,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4680,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4681,Landing Page Submission,Google,4.0,905,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,1
4682,API,Google,8.0,88,8.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4683,Landing Page Submission,Direct Traffic,3.0,112,3.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
4684,Landing Page Submission,Google,5.0,220,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4685,API,Google,6.0,310,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4686,Landing Page Submission,Direct Traffic,19.0,312,2.38,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
4687,Landing Page Submission,Organic Search,5.0,1035,2.5,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
4688,Landing Page Submission,Organic Search,8.0,914,2.67,Email Opened,Low in Relevance,Other Cities,Email Opened,Yes,No,1
4689,Landing Page Submission,Google,9.0,278,9.0,Email Opened,Not Sure,Other Cities of Maharashtra,Modified,No,No,0
4690,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4691,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4692,API,Organic Search,3.0,399,3.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,0
4693,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,1
4694,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
4695,Landing Page Submission,Google,8.0,159,2.67,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
4696,Landing Page Submission,Direct Traffic,3.0,457,3.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
4697,Landing Page Submission,Direct Traffic,2.0,82,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
4698,Landing Page Submission,Google,12.0,48,3.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,Yes,No,0
4699,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4700,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
4701,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4702,Landing Page Submission,Google,3.0,990,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
4703,Landing Page Submission,Google,9.0,87,4.5,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4704,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4705,Landing Page Submission,Direct Traffic,7.0,1402,7.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,0
4706,Landing Page Submission,Google,3.0,165,3.0,Email Opened,Worst,Mumbai,Email Opened,No,No,0
4707,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4708,Landing Page Submission,Direct Traffic,4.0,1237,2.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
4709,Landing Page Submission,Direct Traffic,1.0,45,1.0,Converted to Lead,Not Sure,Other Metro Cities,Modified,Yes,No,0
4710,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4711,Landing Page Submission,Organic Search,5.0,345,2.5,Email Opened,Not Sure,Other Cities of Maharashtra,Email Opened,Yes,No,0
4712,API,Organic Search,4.0,16,4.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
4713,Landing Page Submission,Google,6.0,246,3.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
4714,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,0
4715,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4716,Landing Page Submission,Organic Search,3.0,225,3.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,Yes,0
4717,Landing Page Submission,Google,3.0,1590,3.0,SMS Sent,Low in Relevance,Other Cities of Maharashtra,SMS Sent,No,No,1
4718,Landing Page Submission,Direct Traffic,4.0,154,4.0,Page Visited on Website,Not Sure,Thane & Outskirts,Page Visited on Website,No,No,0
4719,Landing Page Submission,Google,5.0,1436,2.5,Email Opened,Not Sure,Other Metro Cities,Email Opened,No,No,1
4720,Landing Page Submission,Google,2.0,312,2.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
4721,Landing Page Submission,Direct Traffic,5.0,106,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4722,Landing Page Submission,Direct Traffic,8.0,170,4.0,Email Bounced,Worst,Mumbai,Email Bounced,Yes,Yes,0
4723,Lead Add Form,Welingak Website,0.0,0,0.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,1
4724,Landing Page Submission,Google,4.0,709,4.0,Page Visited on Website,Might be,Mumbai,Modified,No,No,1
4725,API,Google,3.0,260,1.5,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
4726,Landing Page Submission,Google,4.0,1708,4.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,No,No,0
4727,Landing Page Submission,Direct Traffic,3.0,12,3.0,Email Link Clicked,Not Sure,Mumbai,Email Link Clicked,No,No,0
4728,API,Google,4.0,609,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
4729,Landing Page Submission,Direct Traffic,4.0,148,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
4730,Landing Page Submission,Direct Traffic,2.0,271,2.0,Email Bounced,Not Sure,Other Cities,Modified,No,Yes,0
4731,Landing Page Submission,Direct Traffic,3.0,89,3.0,Email Opened,Low in Relevance,Other Metro Cities,Email Opened,Yes,No,1
4732,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,High in Relevance,Other Cities,SMS Sent,No,No,1
4733,API,Olark Chat,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
4734,Landing Page Submission,Direct Traffic,2.0,1680,2.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4735,API,Olark Chat,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
4736,Landing Page Submission,Google,6.0,347,6.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,Yes,0
4737,Landing Page Submission,Google,8.0,1620,4.0,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
4738,Landing Page Submission,Organic Search,7.0,845,7.0,Email Link Clicked,High in Relevance,Thane & Outskirts,Email Link Clicked,No,No,1
4739,Landing Page Submission,Direct Traffic,2.0,267,2.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,1
4740,API,Direct Traffic,4.0,1054,1.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4741,Landing Page Submission,Direct Traffic,1.0,206,1.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
4742,Landing Page Submission,Direct Traffic,3.0,1101,3.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,Yes,No,1
4743,Landing Page Submission,Google,2.0,1507,2.0,SMS Sent,Not Sure,Thane & Outskirts,SMS Sent,No,No,1
4744,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,0
4745,Landing Page Submission,Direct Traffic,4.0,84,4.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
4746,Landing Page Submission,Direct Traffic,4.0,21,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,0
4747,Landing Page Submission,Direct Traffic,3.0,154,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,Yes,0
4748,Landing Page Submission,Organic Search,8.0,387,8.0,SMS Sent,High in Relevance,Mumbai,SMS Sent,Yes,No,1
4749,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4750,Landing Page Submission,Direct Traffic,2.0,1380,2.0,SMS Sent,Not Sure,Other Cities,SMS Sent,No,No,1
4751,Landing Page Submission,Direct Traffic,8.0,96,8.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,0
4752,Landing Page Submission,Google,5.0,286,5.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,No,No,0
4753,Landing Page Submission,Direct Traffic,5.0,1880,5.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
4754,API,Olark Chat,0.0,0,0.0,Email Bounced,Not Sure,Mumbai,Modified,No,Yes,0
4755,Landing Page Submission,Direct Traffic,8.0,77,8.0,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,Yes,0
4756,Landing Page Submission,Google,2.0,416,2.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,No,No,0
4757,Landing Page Submission,Direct Traffic,10.0,568,5.0,SMS Sent,Might be,Mumbai,SMS Sent,Yes,No,1
4758,API,Organic Search,4.0,1082,4.0,Page Visited on Website,Not Sure,Other Cities,Modified,No,No,1
4759,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4760,Landing Page Submission,Direct Traffic,4.0,426,4.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,Yes,0
4761,Landing Page Submission,Direct Traffic,4.0,30,2.0,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
4762,Landing Page Submission,Direct Traffic,7.0,32,7.0,Email Opened,Worst,Mumbai,Email Opened,Yes,No,0
4763,Landing Page Submission,Direct Traffic,1.0,431,1.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
4764,Landing Page Submission,Google,4.0,1276,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,0
4765,Landing Page Submission,Direct Traffic,4.0,980,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,Yes,No,1
4766,Landing Page Submission,Direct Traffic,4.0,1886,2.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,1
4767,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
4768,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
4769,Landing Page Submission,Google,9.0,185,3.0,Email Opened,Might be,Thane & Outskirts,Email Opened,No,No,1
4770,API,Google,2.0,1220,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4771,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4772,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4773,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4774,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4775,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4776,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4777,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,High in Relevance,Mumbai,Modified,No,No,1
4778,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,0
4779,Lead Add Form,Reference,0.0,0,0.0,Email Link Clicked,High in Relevance,Mumbai,Email Link Clicked,No,No,1
4780,API,Olark Chat,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4781,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4782,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4783,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4784,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4785,API,Google,2.0,1217,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
4786,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4787,Landing Page Submission,Google,5.0,236,2.5,SMS Sent,Not Sure,Mumbai,SMS Sent,Yes,No,0
4788,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4789,Landing Page Submission,Direct Traffic,2.0,1486,2.0,SMS Sent,Might be,Other Cities of Maharashtra,SMS Sent,Yes,No,1
4790,Landing Page Submission,Direct Traffic,4.0,12,2.0,Email Opened,Not Sure,Other Metro Cities,Email Opened,Yes,No,0
4791,Lead Add Form,Reference,0.0,0,0.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4792,API,Olark Chat,0.0,0,0.0,Email Bounced,Worst,Mumbai,Email Bounced,No,Yes,0
4793,Landing Page Submission,Organic Search,4.0,1189,4.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4794,API,Google,2.0,1177,1.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4795,API,Organic Search,4.0,918,2.0,Page Visited on Website,Might be,Mumbai,Page Visited on Website,No,No,1
4796,API,Google,3.0,18,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4797,Landing Page Submission,Direct Traffic,3.0,1105,3.0,SMS Sent,Not Sure,Thane & Outskirts,SMS Sent,Yes,No,1
4798,Landing Page Submission,Direct Traffic,1.0,260,1.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
4799,API,Organic Search,8.0,1651,8.0,SMS Sent,Might be,Mumbai,SMS Sent,No,No,1
4800,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,Yes,0
4801,Landing Page Submission,Direct Traffic,4.0,773,4.0,Email Opened,Might be,Mumbai,Email Opened,Yes,No,1
4802,API,Organic Search,2.0,1198,1.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4803,Landing Page Submission,Direct Traffic,2.0,1598,2.0,SMS Sent,Might be,Thane & Outskirts,SMS Sent,Yes,No,1
4804,Lead Add Form,Google,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4805,Landing Page Submission,Direct Traffic,2.0,177,2.0,SMS Sent,Not Sure,Mumbai,Modified,Yes,No,0
4806,Landing Page Submission,Google,5.0,212,5.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,No,No,0
4807,API,Google,2.0,1378,2.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4808,Landing Page Submission,Google,6.0,425,6.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4809,API,Organic Search,4.0,976,4.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4810,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,1
4811,API,Google,2.0,746,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4812,Lead Add Form,Welingak Website,0.0,0,0.0,SMS Sent,Not Sure,Mumbai,Modified,No,No,1
4813,API,Google,3.0,1114,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
4814,Landing Page Submission,Google,6.0,324,3.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
4815,Landing Page Submission,Organic Search,5.0,519,5.0,SMS Sent,Not Sure,Mumbai,SMS Sent,No,No,1
4816,API,Google,3.0,1341,3.0,SMS Sent,High in Relevance,Other Cities,SMS Sent,No,No,1
4817,Landing Page Submission,Google,5.0,1136,2.5,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
4818,Landing Page Submission,Direct Traffic,3.0,5,3.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
